name,parent,material_design,mass_estimate_g,uncertainty_fraction,method,volume_mm3,center_mm,watertight,measured,material_verified_by_procurement
MID_CARRIER_M25x10_1,MODULE_COMPACT_ELECTRONICS,Steel,0.5709748255224062,0.25,CAD solid volume x assumed density; not sliced/weighed,72.73564656336384,"[-38.0, 26.99999999999999, 150.38055268465212]",True,False,False
MID_CARRIER_M25x10_2,MODULE_COMPACT_ELECTRONICS,Steel,0.5709748255224062,0.25,CAD solid volume x assumed density; not sliced/weighed,72.73564656336384,"[-24.0, -27.00000000000001, 150.38055268465212]",True,False,False
MID_CARRIER_M25x10_3,MODULE_COMPACT_ELECTRONICS,Steel,0.5709748255224062,0.25,CAD solid volume x assumed density; not sliced/weighed,72.73564656336384,"[-24.0, 26.99999999999999, 150.38055268465212]",True,False,False
MID_CARRIER_NUT_0,FRAME_trunk_base,Steel,0.2575623645049025,0.25,CAD solid volume x assumed density; not sliced/weighed,32.810492293618154,"[-38.0, -27.000000000000004, 146.0000000000003]",True,False,False
MID_CARRIER_NUT_1,FRAME_trunk_base,Steel,0.2575623645049025,0.25,CAD solid volume x assumed density; not sliced/weighed,32.810492293618154,"[-38.0, 27.0, 146.0000000000003]",True,False,False
MID_CARRIER_NUT_2,FRAME_trunk_base,Steel,0.2575623645049025,0.25,CAD solid volume x assumed density; not sliced/weighed,32.810492293618154,"[-24.0, -27.000000000000004, 146.0000000000003]",True,False,False
MID_CARRIER_NUT_3,FRAME_trunk_base,Steel,0.2575623645049025,0.25,CAD solid volume x assumed density; not sliced/weighed,32.810492293618154,"[-24.0, 27.0, 146.0000000000003]",True,False,False
MID_CARRIER_WASHER_0,MODULE_COMPACT_ELECTRONICS,Steel,0.0527480125454691,0.25,CAD solid volume x assumed density; not sliced/weighed,6.719492044008803,"[-38.0, -26.999999999999996, 153.25000000000009]",True,False,False
MID_CARRIER_WASHER_1,MODULE_COMPACT_ELECTRONICS,Steel,0.0527480125454691,0.25,CAD solid volume x assumed density; not sliced/weighed,6.719492044008803,"[-38.0, 26.999999999999996, 153.25000000000009]",True,False,False
MID_CARRIER_WASHER_2,MODULE_COMPACT_ELECTRONICS,Steel,0.0527480125454691,0.25,CAD solid volume x assumed density; not sliced/weighed,6.719492044008803,"[-24.0, -26.999999999999996, 153.25000000000009]",True,False,False
MID_CARRIER_WASHER_3,MODULE_COMPACT_ELECTRONICS,Steel,0.0527480125454691,0.25,CAD solid volume x assumed density; not sliced/weighed,6.719492044008803,"[-24.0, 26.999999999999996, 153.25000000000009]",True,False,False
MID_ELECTRONICS_FRONT_BOTTOM_GUARD,MODULE_COMPACT_ELECTRONICS,PA12,3.0115150698562507,0.25,"CAD solid volume x assumed1.02g/cm3; not sliced, weighed or strength-qualified",2952.46575476103,"[-31.90166069937901, 1.80885208743118e-07, 125.36046417749303]",True,False,False
MID_FRONT_GUARD_M2x6_-20_115,MODULE_COMPACT_ELECTRONICS,Steel,0.2629534295851359,0.25,CAD solid volume x assumed density; not sliced/weighed,33.49725217645043,"[-41.10193225625091, 20.0, 139.99999999999997]",True,False,False
MID_FRONT_GUARD_M2x6_-20_75,MODULE_COMPACT_ELECTRONICS,Steel,0.2629534295851359,0.25,CAD solid volume x assumed density; not sliced/weighed,33.49725217645043,"[-41.10193225625091, 20.0, 124.99999999999997]",True,False,False
MID_FRONT_GUARD_M2x6_20_115,MODULE_COMPACT_ELECTRONICS,Steel,0.2629534295851359,0.25,CAD solid volume x assumed density; not sliced/weighed,33.49725217645043,"[-41.10193225625091, -20.0, 139.99999999999997]",True,False,False
MID_FRONT_GUARD_M2x6_20_75,MODULE_COMPACT_ELECTRONICS,Steel,0.2629534295851359,0.25,CAD solid volume x assumed density; not sliced/weighed,33.49725217645043,"[-41.10193225625091, -20.0, 124.99999999999997]",True,False,False
MID_FRONT_GUARD_WASHER_-20_115,MODULE_COMPACT_ELECTRONICS,Steel,0.045954659061193524,0.25,CAD solid volume x assumed density; not sliced/weighed,5.854096695693443,"[-42.25, 20.000000000000004, 139.99999999999983]",True,False,False
MID_FRONT_GUARD_WASHER_-20_75,MODULE_COMPACT_ELECTRONICS,Steel,0.045954659061193524,0.25,CAD solid volume x assumed density; not sliced/weighed,5.854096695693443,"[-42.25, 20.000000000000004, 125.0]",True,False,False
MID_FRONT_GUARD_WASHER_20_115,MODULE_COMPACT_ELECTRONICS,Steel,0.045954659061193524,0.25,CAD solid volume x assumed density; not sliced/weighed,5.854096695693443,"[-42.25, -20.0, 139.99999999999983]",True,False,False
MID_FRONT_GUARD_WASHER_20_75,MODULE_COMPACT_ELECTRONICS,Steel,0.045954659061193524,0.25,CAD solid volume x assumed density; not sliced/weighed,5.854096695693443,"[-42.25, -20.0, 125.0]",True,False,False
MID_VERTICAL_F411_MODULE_CARRIER,MODULE_COMPACT_ELECTRONICS,PA12,8.427027927853928,0.25,"CAD solid volume x assumed1.02g/cm3; not sliced, weighed or strength-qualified",8261.792086131301,"[-29.73875749435351, -2.593342077800056e-08, 138.9310641681229]",True,False,False
MOUTH_10x15x3_ALIGNED_BEARING,BODY_jaw_soft,Steel estimate; hardware grade not verified,1.4873866107163038,0.35,CAD volume x assumed solid density; not sliced or weighed,189.47600136513427,"[8.99885102973061, -38.5000731341821, 232.78073848515584]",True,False,False
MOUTH_BEARING_HEAD,DCTL_Jaw_Hinge,Steel estimate; hardware grade not verified,0.12384009075136942,0.35,CAD volume x assumed solid density; not sliced or weighed,15.775807739027954,"[8.998993775839661, -35.30000150429043, 232.7812313900372]",True,False,False
MOUTH_BEARING_INNER_SPACER,DCTL_Jaw_Hinge,Steel estimate; hardware grade not verified,0.055994432787559036,0.35,CAD volume x assumed solid density; not sliced or weighed,7.133048762746374,"[8.99899380870264, -40.19999875532055, 232.78123138567636]",True,False,False
MOUTH_BEARING_INNER_WASHER,DCTL_Jaw_Hinge,Steel estimate; hardware grade not verified,0.7250095068692393,0.35,CAD volume x assumed solid density; not sliced or weighed,92.35789896423431,"[8.998993372892414, -36.49999935654451, 232.78123108055766]",True,False,False
MOUTH_BEARING_M2x10,DCTL_Jaw_Hinge,Steel estimate; hardware grade not verified,0.24503301404114186,0.35,CAD volume x assumed solid density; not sliced or weighed,31.21439669313909,"[8.998993825121836, -41.000001132488244, 232.78123140335117]",True,False,False
MOUTH_BEARING_NUT,DCTL_Jaw_Hinge,Steel estimate; hardware grade not verified,0.13469064295913424,0.35,CAD volume x assumed solid density; not sliced or weighed,17.15804368906169,"[8.998993784083645, -43.20000114071289, 232.78123144682993]",True,False,False
NECK_S288_DIRECT_PLATE_BACK,,PA12,0.46114239355806175,0.25,Nominal CAD volume x assumed density; not sliced or weighed,452.100385841237,"[17.44949652774925, -14.045837040426475, 173.09581847893682]",True,,False
NECK_S288_DIRECT_PLATE_FRONT,,PA12,0.4611406035621867,0.25,Nominal CAD volume x assumed density; not sliced or weighed,452.0986309433203,"[17.449496424131084, 11.045845944027503, 173.09581849786244]",True,,False
POLOLU_D24V50F5_COMPONENTS_ENVELOPE,MODULE_COMPACT_ELECTRONICS,Components included in parent module mass,0,0,Do not double count module components,2357.641316316721,"[-16.59998600482949, 2.736597817687425e-06, 122.99999950164579]",True,False,False
POLOLU_D24V50F5_PCB,MODULE_COMPACT_ELECTRONICS,FR4/copper/electronic mixed assembly,4,0.35,"Provisional complete module mass, weigh required",566.1903120171119,"[-20.999993431565727, 3.0099092640512026e-06, 122.99999919590954]",True,False,False
Rex_Arm_L,DCTL_Arm_L,PA12,2.8103537329248685,0.25,Nominal CAD solid volume x assumed density; not sliced or weighed,2755.2490603137867,"[23.58112090785942, 56.18178176870301, 141.20366155948972]",True,False,False
Rex_Arm_R,DCTL_Arm_R,PA12,2.8102729986958117,0.25,Nominal CAD solid volume x assumed density; not sliced or weighed,2755.1699138654676,"[23.580958884750515, -56.1817074829709, 141.20375921225664]",True,False,False
Rex_Camera_Pi_Carrier,BODY_jaw_soft,PA12,7.700532721755356,0.25,Nominal CAD volume x assumed material density; not sliced or weighed,7549.5418840738785,"[58.370212267552006, 0.466588427799262, 245.97347872962516]",True,False,False
Rex_Chassis_Spine,FRAME_trunk_base,PA12,32.27745892171067,0.25,"CAD solid volume x assumed1.02g/cm3; not sliced, weighed or strength-qualified",31644.567570304574,"[-60.140860145342394, -9.140960976543442e-08, 143.07760815147904]",True,False,False
Rex_Jaw_Shell,DCTL_Jaw_Hinge,PA12,9.665056200174492,0.25,Nominal CAD solid volume x assumed density; not sliced or weighed,9475.54531268179,"[39.73677922703587, -0.4707531535096497, 219.14183053541439]",True,False,False
Rex_Rigid_Balance_Tail,DCTL_Tail_Pitch,PETG solid,49.99999083261796,0.25,CAD solid volume x assumed density; not sliced or weighed,39062.492837982776,"[-265.9061327844242, -2.4835273209901513e-16, 177.00000119398106]",True,False,False
Rex_Skull_Shell,BODY_jaw_soft,PETG,36.090429649611934,0.25,Nominal CAD volume x assumed density; not sliced or weighed,28195.648163759324,"[17.123405946461922, -0.02770161954132437, 251.5588275632242]",True,False,False
Rex_Yaw_Pitch_Cradle,DCTL_Tail_Yaw,PA12,5.821630105420678,0.25,Nominal CAD solid volume x assumed density; not sliced or weighed,5707.479828066685,"[-196.74346505326852, 0.39589752954511875, 158.56873560168302]",True,False,False
S288_GUARD_left_M2x8_0,BODY_upper_leg_left,Steel estimate; hardware grade not verified,0.33876744753962146,0.35,CAD volume x assumed solid density; not sliced or weighed,43.155088858550506,"[-77.26415268730497, 74.30361931400458, 105.13114893546357]",True,False,False
S288_GUARD_left_M2x8_1,BODY_upper_leg_left,Steel estimate; hardware grade not verified,0.33876705338188245,0.35,CAD volume x assumed solid density; not sliced or weighed,43.155038647373566,"[-86.2338781524708, 73.91831605112884, 100.72710395767717]",True,False,False
S288_GUARD_left_M2x8_2,BODY_upper_leg_left,Steel estimate; hardware grade not verified,0.33876719382060594,0.35,CAD volume x assumed solid density; not sliced or weighed,43.15505653765681,"[-104.55435027604534, 70.75075718938164, 64.52176137670988]",True,False,False
S288_GUARD_left_NUT_0,BODY_upper_leg_left,Steel estimate; hardware grade not verified,0.13074815159871944,0.35,CAD volume x assumed solid density; not sliced or weighed,16.65581549028273,"[-77.26415369558877, 70.10710583351617, 105.49829443371048]",True,False,False
S288_GUARD_left_NUT_1,BODY_upper_leg_left,Steel estimate; hardware grade not verified,0.13074808575922742,0.35,CAD volume x assumed solid density; not sliced or weighed,16.655807103086296,"[-86.23387948552907, 69.72180213830043, 101.09425323431714]",True,False,False
S288_GUARD_left_NUT_2,BODY_upper_leg_left,Steel estimate; hardware grade not verified,0.13074780820679946,0.35,CAD volume x assumed solid density; not sliced or weighed,16.6557717460891,"[-104.55435051158867, 66.55424367032569, 64.88891125874304]",True,False,False
S288_GUARD_left_WASHER_0,BODY_upper_leg_left,Steel estimate; hardware grade not verified,0.045954670636099086,0.35,CAD volume x assumed solid density; not sliced or weighed,5.854098170203706,"[-77.26415292804671, 76.03446408418318, 104.97971924299534]",True,False,False
S288_GUARD_left_WASHER_1,BODY_upper_leg_left,Steel estimate; hardware grade not verified,0.04595473979091579,0.35,CAD volume x assumed solid density; not sliced or weighed,5.854106979734497,"[-86.23387797658704, 75.64915972050395, 100.57567212361361]",True,False,False
S288_GUARD_left_WASHER_2,BODY_upper_leg_left,Steel estimate; hardware grade not verified,0.04595469859321355,0.35,CAD volume x assumed solid density; not sliced or weighed,5.8541017316195605,"[-104.5543508167412, 72.48160199469196, 64.37033264616333]",True,False,False
S288_GUARD_right_M2x8_0,BODY_upper_leg_right,Steel estimate; hardware grade not verified,0.33876753165165996,0.35,CAD volume x assumed solid density; not sliced or weighed,43.15509957345987,"[-77.26417169916863, -74.30361193176994, 105.13116689217082]",True,False,False
S288_GUARD_right_M2x8_1,BODY_upper_leg_right,Steel estimate; hardware grade not verified,0.3387673974234963,0.35,CAD volume x assumed solid density; not sliced or weighed,43.15508247433075,"[-86.23389759549326, -73.91830578209925, 100.72712153581189]",True,False,False
S288_GUARD_right_M2x8_2,BODY_upper_leg_right,Steel estimate; hardware grade not verified,0.3387673656134792,0.35,CAD volume x assumed solid density; not sliced or weighed,43.15507842209926,"[-104.55436859764458, -70.75074902233574, 64.52177925944643]",True,False,False
S288_GUARD_right_NUT_0,BODY_upper_leg_right,Steel estimate; hardware grade not verified,0.13074787488281792,0.35,CAD volume x assumed solid density; not sliced or weighed,16.655780239849417,"[-77.26417196909244, -70.10710032651868, 105.49831369828412]",True,False,False
S288_GUARD_right_NUT_1,BODY_upper_leg_right,Steel estimate; hardware grade not verified,0.13074760085609605,0.35,CAD volume x assumed solid density; not sliced or weighed,16.65574533198676,"[-86.23389737903103, -69.72179436695636, 101.09426833059992]",True,False,False
S288_GUARD_right_NUT_2,BODY_upper_leg_right,Steel estimate; hardware grade not verified,0.1307484235598876,0.35,CAD volume x assumed solid density; not sliced or weighed,16.65585013501753,"[-104.55436984793796, -66.55423300852019, 64.88892771284925]",True,False,False
S288_GUARD_right_WASHER_0,BODY_upper_leg_right,Steel estimate; hardware grade not verified,0.0459547255597474,0.35,CAD volume x assumed solid density; not sliced or weighed,5.854105166846803,"[-77.26417149059485, -76.03445731348427, 104.97973753311689]",True,False,False
S288_GUARD_right_WASHER_1,BODY_upper_leg_right,Steel estimate; hardware grade not verified,0.04595465258726806,0.35,CAD volume x assumed solid density; not sliced or weighed,5.854095870989561,"[-86.23389625576954, -75.64915110268001, 100.57569015517247]",True,False,False
S288_GUARD_right_WASHER_2,BODY_upper_leg_right,Steel estimate; hardware grade not verified,0.045954593360333515,0.35,CAD volume x assumed solid density; not sliced or weighed,5.854088326157136,"[-104.55436930464614, -72.48159249555775, 64.37035224600032]",True,False,False
S288_arm_L_CASE,FRAME_trunk_base,"OEM S288 mixed assembly; case plus motor, gears, circuit and both disks",19.5,0.05,Official whole-actuator mass,14385.43106826846,"[3.9160759013430777, 39.33133229197821, 149.60350096225739]",True,False,False
S288_arm_L_DIRECT_CASE_-1_0_M2x5,,Steel estimate; exact self-tapping screw grade and supplier not verified,0.2211354623746612,0.25,Simplified fastener envelope x steel density 7.85,28.170122595498242,"[-10.50000000000017, 25.603652797034467, 157.60350096225736]",True,,False
S288_arm_L_DIRECT_CASE_-1_0_M2x5_WASHER,,Steel estimate; exact self-tapping screw grade and supplier not verified,0.03567096277339151,0.25,Simplified fastener envelope x steel density 7.85,4.5440716908778995,"[-10.5, 24.75, 157.60350096225736]",True,,False
S288_arm_L_DIRECT_CASE_-1_1_M2x5,,Steel estimate; exact self-tapping screw grade and supplier not verified,0.2211354623746612,0.25,Simplified fastener envelope x steel density 7.85,28.170122595498242,"[19.500000000000227, 28.603652797034467, 157.60350096225736]",True,,False
S288_arm_L_DIRECT_CASE_-1_1_M2x5_WASHER,,Steel estimate; exact self-tapping screw grade and supplier not verified,0.03567096277339151,0.25,Simplified fastener envelope x steel density 7.85,4.5440716908778995,"[19.5, 27.75, 157.60350096225736]",True,,False
S288_arm_L_DIRECT_CASE_-1_2_M2x5,,Steel estimate; exact self-tapping screw grade and supplier not verified,0.22113546237466133,0.25,Simplified fastener envelope x steel density 7.85,28.17012259549826,"[-10.500000000000256, 25.603652797034453, 141.60350096225733]",True,,False
S288_arm_L_DIRECT_CASE_-1_2_M2x5_WASHER,,Steel estimate; exact self-tapping screw grade and supplier not verified,0.03567096277339151,0.25,Simplified fastener envelope x steel density 7.85,4.5440716908778995,"[-10.5, 24.75, 141.60350096225733]",True,,False
S288_arm_L_DIRECT_CASE_-1_3_M2x5,,Steel estimate; exact self-tapping screw grade and supplier not verified,0.22113546237466133,0.25,Simplified fastener envelope x steel density 7.85,28.17012259549826,"[19.500000000000114, 28.603652797034457, 141.60350096225733]",True,,False
S288_arm_L_DIRECT_CASE_-1_3_M2x5_WASHER,,Steel estimate; exact self-tapping screw grade and supplier not verified,0.03567096277339151,0.25,Simplified fastener envelope x steel density 7.85,4.5440716908778995,"[19.5, 27.75, 141.60350096225733]",True,,False
S288_arm_L_DISC_-1,DCTL_Arm_L,"OEM S288 output disk, included in actuator mass",0,0,Included in corresponding case whole-unit mass,420.28183823882136,"[12.0, 28.5, 149.60350096225733]",True,False,False
S288_arm_L_DISC_1,DCTL_Arm_L,"OEM S288 output disk, included in actuator mass",0,0,Included in corresponding case whole-unit mass,420.28183823882136,"[12.0, 51.5, 149.60350096225733]",True,False,False
S288_arm_L_OUT_1_M2x5_0,DCTL_Arm_L,Steel estimate; exact self-tapping screw grade and supplier not verified,0.2211355210099814,0.35,Simplified fastener envelope x steel density 7.85,28.170130064965786,"[16.5466333792862, 54.89634711291722, 152.22850096225716]",True,False,False
S288_arm_L_OUT_1_M2x5_1,DCTL_Arm_L,Steel estimate; exact self-tapping screw grade and supplier not verified,0.2211354623746615,0.35,Simplified fastener envelope x steel density 7.85,28.17012259549828,"[11.999999999999865, 54.89634720296547, 154.85350096225736]",True,False,False
S288_arm_L_OUT_1_M2x5_2,DCTL_Arm_L,Steel estimate; exact self-tapping screw grade and supplier not verified,0.2211355210099811,0.35,Simplified fastener envelope x steel density 7.85,28.170130064965747,"[7.453366620713695, 54.89634711291732, 152.22850096225713]",True,False,False
S288_arm_L_OUT_1_M2x5_3,DCTL_Arm_L,Steel estimate; exact self-tapping screw grade and supplier not verified,0.2211355210099811,0.35,Simplified fastener envelope x steel density 7.85,28.170130064965747,"[7.453366620713695, 54.89634711291732, 146.9785009622575]",True,False,False
S288_arm_L_OUT_1_M2x5_4,DCTL_Arm_L,Steel estimate; exact self-tapping screw grade and supplier not verified,0.2211354623746615,0.35,Simplified fastener envelope x steel density 7.85,28.17012259549828,"[11.999999999999865, 54.89634720296547, 144.3535009622574]",True,False,False
S288_arm_L_OUT_1_M2x5_5,DCTL_Arm_L,Steel estimate; exact self-tapping screw grade and supplier not verified,0.2211355210099814,0.35,Simplified fastener envelope x steel density 7.85,28.170130064965786,"[16.5466333792862, 54.89634711291722, 146.9785009622573]",True,False,False
S288_arm_L_OUT_1_WASHER_0,DCTL_Arm_L,Steel estimate; exact self-tapping screw grade and supplier not verified,0.035670949246660165,0.35,Simplified fastener envelope x steel density 7.85,4.54406996772741,"[16.546633314535036, 55.75, 152.2285009622571]",True,False,False
S288_arm_L_OUT_1_WASHER_1,DCTL_Arm_L,Steel estimate; exact self-tapping screw grade and supplier not verified,0.03567096277339151,0.35,Simplified fastener envelope x steel density 7.85,4.5440716908778995,"[12.000000000000071, 55.75, 154.85350096225739]",True,False,False
